Team1,Team1_Seed,Team1_Score,Team2,Team2_Seed,Team2_Score,WinningTeam,Team1_Win
Gonzaga,1,82,Memphis,9,78,Gonzaga,True
New Mexico State,12,48,Arkansas,4,53,Arkansas,False
Notre Dame,11,53,Texas Tech,3,59,Texas Tech,False
Michigan State,7,76,Duke,2,85,Duke,False
Baylor,1,86,North Carolina,8,93,North Carolina,False
Saint Mary's,5,56,UCLA,4,72,UCLA,False
Texas,6,71,Purdue,3,81,Purdue,False
Murray State,7,60,Saint Peter's,15,70,Saint Peter's,False
Arizona,1,85,TCU,9,80,Arizona,True
Houston,5,68,Illinois,4,53,Houston,True
Michigan,11,76,Tennessee,3,68,Michigan,True
Ohio State,7,61,Villanova,2,71,Villanova,False
Kansas,1,79,Creighton,9,72,Kansas,True
Richmond,12,51,Providence,4,79,Providence,False
Iowa State,11,54,Wisconsin,3,49,Iowa State,True
Miami (FL),10,79,Auburn,2,61,Miami (FL),True
